tick;time_seconds;evacuated_count0;evacuated_count1;evacuated_count2;evacuated_count3;evacuated_count4;evacuated_count5;evacuated_count6;evacuated_count7;evacuated_count8;evacuated_count9;evacuated_count10;evacuated_count11;evacuated_count12;evacuated_count13;evacuated_count14;evacuated_count15;evacuated_count16;evacuated_count17;evacuated_count18;evacuated_count19;evacuated_count20;evacuated_count21;evacuated_count22;evacuated_count23;evacuated_count24;evacuated_count25;evacuated_count26;evacuated_count27;evacuated_count28;evacuated_count29;evacuated_count30;evacuated_count31;evacuated_count32;evacuated_count33;evacuated_count34;evacuated_count35;evacuated_count36;evacuated_count37;evacuated_count38;evacuated_count39;evacuated_count40;average;std
2953;1476,5;6,0;13,0;12,0;8,0;13,0;9,0;9,0;18,0;13,0;10,0;6,0;8,0;7;14,0;8,0;8,0;5,0;9,0;7,0;12,0;11,0;11,0;12,0;11,0;11,0;9,0;11,0;13,0;11,0;11,0;11,0;9,0;11,0;9,0;10,0;8,0;9,0;16,0;9,0;4,0;8,0;10,0;2,810694
2954;1477,0;6,0;13,0;12,0;8,0;13,0;9,0;9,0;18,0;13,0;10,0;6,0;8,0;7;14,0;8,0;8,0;5,0;9,0;7,0;12,0;11,0;11,0;12,0;11,0;11,0;9,0;11,0;13,0;11,0;11,0;11,0;9,0;11,0;9,0;10,0;8,0;9,0;16,0;9,0;4,0;8,0;10,0;2,810694
2955;1477,5;6,0;13,0;12,0;8,0;13,0;9,0;9,0;18,0;13,0;10,0;6,0;8,0;7;14,0;8,0;8,0;5,0;9,0;7,0;12,0;11,0;11,0;12,0;11,0;11,0;9,0;11,0;13,0;11,0;11,0;11,0;9,0;11,0;9,0;10,0;8,0;9,0;16,0;9,0;4,0;8,0;10,0;2,810694
2956;1478,0;6,0;13,0;12,0;8,0;13,0;9,0;10,0;18,0;13,0;10,0;6,0;8,0;7;14,0;8,0;8,0;5,0;9,0;7,0;12,0;11,0;11,0;12,0;11,0;11,0;9,0;11,0;13,0;11,0;11,0;11,0;9,0;11,0;9,0;10,0;8,0;9,0;16,0;9,0;4,0;8,0;10,024390243902438;2,806134
2957;1478,5;6,0;13,0;12,0;8,0;13,0;9,0;10,0;18,0;13,0;10,0;6,0;8,0;7;14,0;9,0;8,0;5,0;10,0;7,0;12,0;11,0;11,0;12,0;11,0;11,0;9,0;11,0;13,0;11,0;11,0;11,0;9,0;11,0;9,0;10,0;8,0;9,0;16,0;9,0;4,0;8,0;10,073170731707316;2,787384
2958;1479,0;6,0;13,0;12,0;8,0;13,0;9,0;10,0;18,0;13,0;10,0;6,0;8,0;7;14,0;9,0;8,0;5,0;10,0;7,0;12,0;11,0;11,0;12,0;11,0;11,0;9,0;11,0;13,0;11,0;11,0;11,0;9,0;11,0;9,0;10,0;8,0;9,0;16,0;9,0;4,0;8,0;10,073170731707316;2,787384
2959;1479,5;6,0;13,0;12,0;8,0;13,0;9,0;10,0;18,0;13,0;10,0;6,0;8,0;7;14,0;9,0;8,0;5,0;10,0;7,0;12,0;11,0;11,0;12,0;11,0;11,0;9,0;11,0;13,0;11,0;11,0;11,0;9,0;11,0;9,0;10,0;8,0;9,0;16,0;9,0;4,0;8,0;10,073170731707316;2,787384
2960;1480,0;6,0;13,0;12,0;8,0;13,0;9,0;10,0;18,0;13,0;10,0;7,0;8,0;7;14,0;9,0;8,0;5,0;10,0;7,0;13,0;11,0;11,0;12,0;11,0;11,0;9,0;12,0;13,0;11,0;11,0;11,0;9,0;11,0;9,0;10,0;9,0;9,0;16,0;9,0;4,0;8,0;10,170731707317072;2,774008
2961;1480,5;6,0;13,0;12,0;8,0;13,0;9,0;10,0;18,0;13,0;10,0;7,0;8,0;7;14,0;9,0;8,0;5,0;10,0;7,0;13,0;11,0;11,0;12,0;11,0;11,0;9,0;12,0;13,0;11,0;11,0;11,0;9,0;11,0;9,0;10,0;9,0;9,0;16,0;9,0;4,0;8,0;10,170731707317072;2,774008
2962;1481,0;6,0;13,0;12,0;8,0;13,0;9,0;10,0;18,0;13,0;10,0;7,0;8,0;7;14,0;9,0;8,0;5,0;10,0;7,0;13,0;11,0;11,0;12,0;11,0;11,0;9,0;12,0;13,0;12,0;11,0;11,0;9,0;11,0;9,0;10,0;9,0;9,0;16,0;9,0;4,0;8,0;10,195121951219512;2,785853
